"subject_nr","language","duration","age","gender","Exemplar","CategoryCorrect","CategoryLeft","CategoryRight","Color","correctResponse","correct","count","Condition","File","mt_id","xpos_max","xpos_min","ypos_max","ypos_min","MAD","MAD_time","MD_above","MD_above_time","MD_below","MD_below_time","AD","AUC","xpos_flips","ypos_flips","xpos_reversals","ypos_reversals","RT","initiation_time","idle_time","total_dist","vel_max","vel_max_time","vel_min","vel_min_time","acc_max","acc_max_time","acc_min","acc_min_time"
12,"de",1183.76400000596,25,"female","gelb","lila","gelb","lila","#8632eb","lila",TRUE,1,"incongruent","preprocessed_train_data.csv","id0553",502,-475,0,-467,662.845917617896,486.59999999404,662.845917617896,486.59999999404,-53.0641233745075,146.59999999404,215.950042114831,97337.5,2,4,2,0,695.59999999404,0,0,2485.53867382854,9.46819524242368,596.700000003038,0,0,0.138070923850882,563.700000003038,-0.177195129829074,646.700000003038
14,"de",1218.65999999997,46,"female","blau","blau","grün","blau","#0F89CA","blau",TRUE,1,"congruent","preprocessed_train_data.csv","id0554",333,-499,66,-493,474.574607495109,782,474.574607495109,782,-44.9469533661895,218,112.536214809315,208477,2,2,1,1,1124,0,0,1473.40538159108,6.01231728900542,860,0,0,0.11650413656055,828,-0.147030097885692,937
4,"de",1281.72000000597,33,"female","rot","rot","grün","rot","#EE224A","rot",TRUE,1,"congruent","preprocessed_train_data.csv","id0555",4,-518,0,-439,150.723941152244,828.899999991001,150.723941152244,828.899999991001,0,0,66.7135342705161,65718,1,0,1,0,1137.5,0,0,763.142105893098,3.80749959150469,695,0,0,0.0630576840218704,695,-0.102700766737861,710.899999991001
15,"de",1333.53999999998,32,"female","lila","lila","lila","gelb","#8632eb","lila",TRUE,1,"congruent","preprocessed_train_data.csv","id0556",586,0,9,-516,-98.2502415486757,250,0,0,-98.2502415486757,250,-42.20224026143,-52884.5,0,1,0,1,610,0,0,830.41815039233,6.89379753433798,266,0,0,0.168419272300092,235,-0.148503402460721,328
5,"de",2331.08100000001,27,"female","grün","gelb","gelb","grün","#F9DF30","gelb",TRUE,1,"incongruent","preprocessed_train_data.csv","id0557",505,-310,1,-381,467.961871873443,1181.09999999998,467.961871873443,1181.09999999998,-6.45444827954046,1381.29999999999,206.903409386685,140289,2,3,1,1,1597.09999999998,0,0,1308.61001187575,11.8230772749737,1313,0,0,0.209909991089833,1276.5,-0.281988304443853,1345.09999999998
12,"de",695.690999997023,25,"female","grün","gelb","gelb","grün","#F9DF30","gelb",TRUE,1,"incongruent","preprocessed_train_data.csv","id0558",545,0,0,-517,-52.0973967923396,131,0,0,-52.0973967923396,131,-22.5927996887753,-19064,0,0,0,0,310.899999991001,0,0,760.906691709129,6.76008107653585,64.8999999910011,0,0,0.143936322071082,47.6999999880209,-0.138976667870153,97.6999999880209
1,"de",818.200000000012,28,"female","blau","blau","blau","lila","#0F89CA","blau",TRUE,1,"congruent","preprocessed_train_data.csv","id0559",555,0,0,-543,-63.5083065750512,125,1.0084363336429,32,-63.5083065750512,125,-21.3949813908271,-27677,0,0,0,0,282,0,0,790.14950703609,6.97073246589705,141,0,0,0.191409200353795,32,-0.38357240566751,156
16,"de",827.849999999977,24,"female","gelb","gelb","grün","gelb","#F9DF30","gelb",TRUE,1,"congruent","preprocessed_train_data.csv","id0560",34,-481,0,-430,164.302929879502,334.099999964004,164.302929879502,334.099999964004,-0.589401050859261,659.399999975984,64.2736143753085,62396,2,1,1,0,827.299999951967,0,0,767.709367418306,3.14307274017004,368,0,0,0.0622673618120695,181.099999964004,-0.044992123755416,384
10,"de",904,20,"female","blau","blau","rot","blau","#0F89CA","blau",TRUE,1,"congruent","preprocessed_train_data.csv","id0561",38,-427,0,-457,248.632309451415,169,248.632309451415,169,0,0,96.3389239725146,101855.5,1,1,1,0,477,0,25,845.564220854372,6.83853968329497,177,0,0,0.420397498710063,177,-0.67899481049884,56
19,"de",1096.35999999999,21,"female","lila","lila","rot","lila","#8632eb","lila",TRUE,1,"congruent","preprocessed_train_data.csv","id0562",42,-598,47,-571,40.425564680301,407,40.425564680301,407,-23.4933909922168,532,0.609289488109314,12048.5,1,1,1,1,719,0,0,974.942981616062,5.04318088802967,438,0,0,0.110961829306916,328,-0.0858884251865069,32
14,"de",1452.38,46,"female","gelb","rot","rot","gelb","#EE224A","rot",TRUE,1,"incongruent","preprocessed_train_data.csv","id0563",539,-108,115,-536,395.951779650187,1047,395.951779650187,1047,-76.6093271224948,219,81.5167667703559,94082,5,2,4,1,1391,0,0,1634.25628270194,4.35755450338834,1234,0,0,0.0800841299067514,1125,-0.158602462318855,1281
15,"de",1541.65999999997,32,"female","lila","grün","lila","grün","#22AF48","grün",TRUE,1,"incongruent","preprocessed_train_data.csv","id0564",475,-690,4,-675,669.074906501306,672,669.074906501306,672,-1.86376478745202,875,242.219415185923,327728,2,2,1,1,1140,0,0,2058.13267986371,12.2597219075312,781,0,0,0.2628176356136,750,-0.277200462697969,843
5,"de",1595.49599999993,27,"female","grün","lila","grün","lila","#8632eb","lila",TRUE,1,"incongruent","preprocessed_train_data.csv","id0565",0,-370,0,-384,-40.8776056843523,147.599999999977,1.44022392722187,512.799999999988,-40.8776056843523,147.599999999977,-17.1635509562122,-10298,0,0,0,0,541.399999999965,0,0,544.522343395388,4.88905446280334,16.0999999999767,0,0,0.556440436725638,4.09999999997672,-0.0777393733413114,35.1999999999534
17,"de",1896,26,"female","gelb","grün","grün","gelb","#22AF48","grün",TRUE,1,"incongruent","preprocessed_train_data.csv","id0566",437,-170,0,-388,337.58487677908,144,337.58487677908,144,-3.00643250574022,473,85.3237510367111,124515,2,2,1,0,1594,0,1090,990.98820989147,6.50120181197292,200,0,0,0.359375,216,-0.468900226496615,208
17,"de",755,26,"female","grün","grün","lila","grün","#22AF48","grün",TRUE,1,"congruent","preprocessed_train_data.csv","id0567",0,-418,0,-323,26.2922425462579,88,26.2922425462579,88,-4.67577500822644,160,8.39193711476457,6151,0,0,0,0,192,0,0,533.336567376306,4.58938993767145,104,0,0,0.254169232886007,48,-0.279450505849932,136
16,"de",898.429000011936,24,"female","blau","rot","rot","blau","#EE224A","rot",TRUE,1,"incongruent","preprocessed_train_data.csv","id0568",328,-92,0,-476,350.91488359078,304.100000023958,350.91488359078,304.100000023958,0,0,161.89406877989,50129.5,3,2,3,0,564.199999987963,0,0,1270.51033438656,6.03134832601781,94.8000000119791,0,0,0.116097738525007,11,-0.734309398139544,146.900000035996
19,"de",928.5,21,"female","gelb","grün","grün","gelb","#22AF48","grün",TRUE,1,"incongruent","preprocessed_train_data.csv","id0569",528,-1,7,-534,29.817857537924,516,29.817857537924,516,-16.3470891003731,375,1.60209877248145,8953,1,1,1,1,672,0,0,773.645352322885,5.321683239352,500,0,0,0.0908838967307855,469,-0.0909443422278221,563
12,"de",1198.08699999703,25,"female","blau","blau","gelb","blau","#0F89CA","blau",TRUE,1,"congruent","preprocessed_train_data.csv","id0570",304,-438,0,-405,363.511665963516,224.400000006019,363.511665963516,224.400000006019,-21.8859328519897,423.29999999702,145.894780647263,80261.5,1,0,1,0,537.70000000298,0,0,1171.59869341503,6.77479763985797,322.29999999702,0,0,0.130611421213995,6.6000000089989,-0.0897564508924981,389.20000000298
1,"de",1198.32000000001,28,"female","gelb","rot","rot","gelb","#EE224A","rot",TRUE,1,"incongruent","preprocessed_train_data.csv","id0571",581,-412,0,-573,623.225510172728,234,623.225510172728,234,0,0,250.452607547174,221545.5,1,2,1,0,718,0,0,1648.1026886924,7.4,313,0,0,0.13788899529466,249,-0.134327354690901,359
10,"de",1228,20,"female","grün","grün","grün","gelb","#22AF48","grün",TRUE,1,"congruent","preprocessed_train_data.csv","id0572",446,-444,0,-437,622.834833960012,446,622.834833960012,446,-1.39470991960691,665,191.123026039895,21319,3,2,2,0,762,0,113,2088.22625649497,12.1666666666667,545,0,0,0.649558171394254,275,-0.906642440521635,551
15,"de",1292.70000000001,32,"female","blau","blau","rot","blau","#0F89CA","blau",TRUE,1,"congruent","preprocessed_train_data.csv","id0573",0,-673,0,-553,106.131113147225,859,106.131113147225,859,-3.82951479987481,953,25.5364946557408,45538.5,1,0,0,0,1141,0,0,913.210885000334,6.79412659949754,859,0,0,0.19207900724065,859,-0.158455028948196,906
14,"de",1453.14000000001,46,"female","gelb","gelb","grün","gelb","#F9DF30","gelb",TRUE,1,"congruent","preprocessed_train_data.csv","id0574",83,-577,107,-482,287.515350766107,1141,287.515350766107,1141,-105.344037782457,265,10.1434108443378,79054.5,3,1,2,1,1407,0,0,1328.03170242047,5.48168668284579,1234,0,0,0.0946201913457151,1171,-0.2052321627753,1249
5,"de",1605.82900000003,27,"female","blau","blau","blau","lila","#0F89CA","blau",TRUE,1,"congruent","preprocessed_train_data.csv","id0575",384,0,0,-378,-70.0181041153341,79.0999999999767,10.1998383221447,327.799999999988,-70.0181041153341,79.0999999999767,-15.9662316350783,-16988,2,0,0,0,563.900000000023,0,0,580.659107239962,6.31744209974891,12.0999999999767,0,0,0.243319350748137,12.0999999999767,-0.137213133776905,63.0999999999767
16,"de",532.412000000011,24,"female","grün","grün","grün","lila","#22AF48","grün",TRUE,1,"congruent","preprocessed_train_data.csv","id0576",357,0,0,-428,13.5732902738208,282.5,13.5732902738208,282.5,-8.3933710377969,198.400000035996,0.434919439837961,1194.5,0,0,0,0,531.600000023958,0,0,562.507161829192,3.66031745555389,315.5,0,0,0.0614655716691175,298.5,-0.0869346539374548,332.5
19,"de",864.520000000019,21,"female","lila","lila","grün","lila","#8632eb","lila",TRUE,1,"congruent","preprocessed_train_data.csv","id0577",3,-531,22,-602,-29.1108959890352,547,11.8845407281494,469,-29.1108959890352,547,-5.62886760336988,-5248,2,1,2,1,672,0,0,863.30498350665,7.25,500,0,0,0.118861789625406,500,-0.203980957514032,516
1,"de",894.260000000009,28,"female","blau","blau","lila","blau","#0F89CA","blau",TRUE,1,"congruent","preprocessed_train_data.csv","id0578",0,-664,2,-536,-82.8713707878247,376,16.901175287591,281,-82.8713707878247,376,-24.3152498338623,-29346.5,1,1,0,1,595,0,0,908.772454371235,17.464249196573,297,0,0,0.67413134565567,297,-0.915461958758164,312
17,"de",937,26,"female","rot","rot","grün","rot","#EE224A","rot",TRUE,1,"congruent","preprocessed_train_data.csv","id0579",0,-476,0,-494,75.3750224769874,88,75.3750224769874,88,-4.77592726952843,184,18.4754303956789,33193.5,1,1,0,0,464,0,168,785.801708697934,11.4434752151608,80,0,0,0.998268255459499,80,-1.02148901663565,88
4,"de",1106.34600000299,33,"female","lila","lila","lila","gelb","#8632eb","lila",TRUE,1,"congruent","preprocessed_train_data.csv","id0580",513,-13,0,-426,74.8856058408395,175.400000006019,74.8856058408395,175.400000006019,-9.14193758297303,341.400000006019,26.9664163885323,23867.5,1,0,1,0,419.70000000298,0,0,717.884939172036,4.16890041867601,195,0,0,0.0941260705610175,175.400000006019,-0.130855843525,341.400000006019
5,"de",1154.73700000002,27,"female","lila","lila","lila","grün","#8632eb","lila",TRUE,1,"congruent","preprocessed_train_data.csv","id0581",430,-126,0,-357,185.37045588957,174.599999999977,185.37045588957,174.599999999977,-18.648869486002,340.299999999988,55.9846887818368,27951.5,3,0,2,0,495.099999999977,0,0,876.525788223296,6.63113530962278,291.5,0,0,0.135456187452188,6.70000000001164,-0.129206581758936,307.700000000012
12,"de",1320.65200000594,25,"female","lila","lila","lila","grün","#8632eb","lila",TRUE,1,"congruent","preprocessed_train_data.csv","id0582",477,-521,57,-624,668.968845363561,766.099999993981,668.968845363561,766.099999993981,-48.9686896632785,241.399999991001,196.287910675652,469620.5,2,4,2,1,1226.19999998802,0,0,2079.82342924722,7.70186335688861,899.099999993981,0,0,0.083716543602774,832.099999993981,-0.12238228632123,949.099999993981
