,accuracy,balanced_acc,f1score
NB,0.7166,0.6432,0.8028
LDA,0.7126,0.5894,0.8144
KNN,0.7166,0.6134,0.8117
TB,0.6707,0.6011,0.7666
RF,0.6926,0.5872,0.7952
