,subject_nr,Condition,xpos_max,xpos_min,ypos_max,ypos_min,MAD,MAD_time,MD_above,MD_above_time,MD_below,MD_below_time,AD,AUC,xpos_flips,ypos_flips,xpos_reversals,ypos_reversals,RT,initiation_time,idle_time,total_dist,vel_max,vel_max_time,vel_min,vel_min_time,acc_max,acc_max_time,acc_min,acc_min_time
0,31,0,67,-486,0,-498,131.879595614476,168.0,131.879595614476,168.0,0.0,0.0,39.9271476147123,36450.5,2,1,2,0,512.0,0.0,0.0,835.245668925672,5.74633867460536,265.0,0,0,0.169183857456195,265.0,-0.206453720154864,272.0
1,35,1,39,-493,0,-586,118.675843053392,291.700000048004,118.675843053392,291.700000048004,0.0,0.0,51.8457162746981,54155.5,1,1,1,0,652.5,0.0,0.0,863.584057951525,5.23661582787202,357.700000048004,0,0,0.0844778503713308,341.700000048004,-0.0851648334442263,559.400000094989
2,33,0,96,-313,0,-305,231.129107678797,203.0,231.129107678797,203.0,0.0,0.0,82.4666937536714,67009.0,1,2,1,0,515.0,0.0,15.0,684.921077700661,4.34613493680177,250.0,0,0,0.113008898360681,250.0,-0.160508475626194,265.0
3,21,0,475,-35,50,-478,16.5104534458956,376.0,16.5104534458956,376.0,-14.1509692665882,208.0,2.0238551024894,2709.5,2,1,2,1,528.0,0.0,0.0,811.151031230417,7.6943566982562,240.0,0,0,0.242473195760675,128.0,-0.193915181682122,288.0
4,8,0,393,-173,0,-360,313.682496931554,126.0,313.682496931554,126.0,-46.2921896883934,375.0,54.3307907652302,66567.5,1,2,1,0,563.0,0.0,0.0,973.24099441834,8.74486456441722,187.0,0,0,0.331568286747686,187.0,-0.185373486396587,203.0
5,5,0,414,0,0,-443,-37.0552786334765,79.0,0.0,0.0,-37.0552786334765,79.0,-11.8932689151479,-13752.5,0,0,0,0,235.0,0.0,0.0,612.029757761069,6.86305780975215,94.0,0,0,0.138575304538189,46.0,-0.267714801326627,110.0
6,9,1,0,-253,0,-258,79.9509843831127,109.0,79.9509843831127,109.0,0.0,0.0,52.8168349193352,16426.5,0,1,0,0,437.0,0.0,14.0,408.701742039497,6.43214186563013,0.0,0,0,0.0380174579954779,311.0,-0.157362199012331,46.0
7,35,1,502,0,0,-504,75.9878219000359,318.099999905011,75.9878219000359,318.099999905011,-1.41139921537051,485.199999810022,25.2447460095571,27979.5,0,0,0,0,496.5,0.0,0.0,736.334408850218,4.30055922974923,401.099999905011,0,0,0.0517537635110063,284.399999857007,-0.0775671115103907,468.099999905011
8,31,1,171,-533,0,-532,302.699996511318,392.0,302.699996511318,392.0,-19.8441297273359,560.0,84.4133153833424,71382.0,2,0,2,0,656.0,0.0,0.0,1116.22719136864,7.47785847331566,441.0,0,0,0.233668886049995,441.0,-0.199106648775754,360.0
9,8,1,153,-354,0,-381,220.875684897868,171.0,220.875684897868,171.0,-43.8115135899145,312.0,82.5920898039799,46925.5,2,0,1,0,406.0,0.0,0.0,820.135753920499,11.7075363014598,234.0,0,0,0.293183078191588,234.0,-0.488120052783914,250.0
10,33,1,49,-382,0,-304,126.661002480571,172.0,126.661002480571,172.0,0.0,0.0,55.983203405728,39023.0,1,0,1,0,421.0,0.0,0.0,605.534750734159,5.28300636475104,218.0,0,0,0.127828262402912,172.0,-0.139740683058676,234.0
11,21,0,533,-19,6,-578,-51.7780971667452,624.0,31.7180591290664,696.0,-51.7780971667452,624.0,-2.30057042876956,-4374.0,1,1,1,1,760.0,8.0,8.0,850.034410092131,6.90335063574204,680.0,0,0,0.158299438212358,576.0,-0.192427003129242,728.0
12,9,1,0,-262,0,-302,60.1461440611494,62.0,60.1461440611494,62.0,0.0,0.0,28.2814592942735,17438.0,0,1,0,0,453.0,0.0,0.0,432.948815881594,5.77042266890197,47.0,0,0,0.131477352058364,47.0,-0.170726642778504,62.0
13,5,1,419,0,0,-376,11.6009408482803,173.0,11.6009408482803,173.0,-5.90793588445572,48.0,1.63240922363644,-1082.5,0,0,0,0,283.0,0.0,0.0,566.042232338407,7.43303437365925,48.0,0,0,0.121126053972691,48.0,-0.353366404538077,64.0
14,31,0,0,-481,0,-490,61.0037271905926,151.0,61.0037271905926,151.0,-11.2666181284509,272.0,14.3896182901103,18645.0,0,0,0,0,407.0,0.0,0.0,713.610898489047,6.02884224171691,192.0,0,0,0.150530030600973,184.0,-0.165768023857622,255.0
