,subject_nr,Condition,xpos_max,xpos_min,ypos_max,ypos_min,MAD,MAD_time,MD_above,MD_above_time,MD_below,MD_below_time,AD,AUC,xpos_flips,ypos_flips,xpos_reversals,ypos_reversals,RT,initiation_time,idle_time,total_dist,vel_max,vel_max_time,vel_min,vel_min_time,acc_max,acc_max_time,acc_min,acc_min_time
0,18,1,0,-336,0,-397,-93.279854912253,265.0,0.301228790640601,15.0,-93.279854912253,265.0,-51.0231327688535,-22097.0,3,1,0,0,578.0,0.0,47.0,567.137788317875,5.42135694370986,125.0,0,0,0.13072284832656,125.0,-0.162250156202039,140.0
1,18,0,364,0,0,-363,46.2546606246407,63.0,46.2546606246407,63.0,0.0,0.0,14.362910535875,15635.5,0,0,0,0,297.0,0.0,0.0,525.77735776313,9.03154963939682,63.0,0,0,0.176809655305315,32.0,-0.356694070582668,78.0
2,18,1,0,-405,0,-323,-4.42253269876583,93.0,0.0,0.0,-4.42253269876583,93.0,-2.45458374102766,-1644.5,0,0,0,0,172.0,0.0,0.0,518.741296227872,8.75557857882619,15.0,0,0,0.255628162429113,15.0,-0.246417046986348,31.0
3,18,1,449,0,0,-412,-16.1458575728655,32.0,11.4126520933252,63.0,-16.1458575728655,32.0,-3.54356006967684,-2903.5,1,0,0,0,188.0,0.0,0.0,620.591300959823,8.73860865641665,47.0,0,0,0.275831273165097,16.0,-0.296590652823489,63.0
4,18,0,249,0,0,-274,37.624333981148,47.0,37.624333981148,47.0,0.0,0.0,17.2339076589408,8615.0,0,0,0,0,141.0,0.0,0.0,380.076445625832,7.78319503802905,0.0,0,0,0.0617026747815649,47.0,-0.192171622444697,62.0
5,18,1,288,0,0,-270,10.98865413736,63.0,10.98865413736,63.0,-1.36788225776266,16.0,2.87255274130159,1586.5,0,0,0,0,188.0,0.0,0.0,396.71130600139,6.93862603474204,16.0,0,0,0.256542501409586,16.0,-0.180726527909668,78.0
6,18,0,0,-316,0,-307,-9.68510384271601,47.0,0.0,0.0,-9.68510384271601,47.0,-3.49922703480678,-2538.5,0,0,0,0,172.0,0.0,0.0,441.253606561048,6.3061009720193,0.0,0,0,0.0199025625705049,78.0,-0.189588874912478,94.0
7,18,1,0,-338,0,-291,-5.20840235302602,63.0,0.0,0.0,-5.20840235302602,63.0,-2.22438914095441,-1618.5,0,0,0,0,172.0,0.0,0.0,446.889265298099,5.80981120605481,31.0,0,0,0.0281722341665529,31.0,-0.101952545295284,63.0
8,18,1,353,0,0,-309,-4.90474534256052,15.0,1.52194184032519,78.0,-4.90474534256052,15.0,-1.25239497250084,-871.0,0,0,0,0,171.0,0.0,0.0,469.621654487736,8.16632652352873,31.0,0,0,0.161971921455268,31.0,-0.267220978593917,46.0
9,18,0,0,-334,0,-321,-5.81764138067772,31.0,1.91259007913931,78.0,-5.81764138067772,31.0,-1.07915988381836,-692.0,0,0,0,0,203.0,0.0,0.0,464.381878125895,6.22325388272798,47.0,0,0,0.128784214461956,47.0,-0.199785100529527,62.0
10,18,1,300,0,0,-296,12.414427388596,47.0,12.414427388596,47.0,-0.0379646097510737,125.0,4.64402088779817,2479.0,0,0,0,0,141.0,0.0,0.0,422.905014313456,6.69800576664428,31.0,0,0,0.0952152364114464,16.0,-0.203107950663178,47.0
11,18,1,388,0,0,-332,-5.3186647638798,188.0,2.3029270111644,94.0,-5.3186647638798,188.0,-2.21013508031166,-991.0,0,0,0,0,219.0,0.0,0.0,513.819008291998,6.9279779338434,16.0,0,0,0.231381622418901,16.0,-0.194685641086989,63.0
12,18,1,329,0,0,-341,11.5292683946755,78.0,11.5292683946755,78.0,-7.48357783773009,31.0,3.1935466118959,873.5,0,0,0,0,156.0,0.0,0.0,476.728627939631,6.8364268861913,31.0,0,0,0.0730794025832996,15.0,-0.159211728886229,62.0
13,18,1,0,-380,0,-359,-4.77271861965312,47.0,1.18026749031103,94.0,-4.77271861965312,47.0,-0.98212155697003,-1061.0,0,0,0,0,188.0,0.0,0.0,523.574870661336,9.62081077664456,32.0,0,0,0.293697437249503,32.0,-0.343682040478033,47.0
14,18,1,0,-348,0,-408,10.472655574025,110.0,10.472655574025,110.0,-0.402794445154814,47.0,3.91357072020784,2566.0,0,0,0,0,157.0,0.0,0.0,538.967470396965,8.18845414287703,47.0,0,0,0.196364627462348,47.0,-0.207155438489244,63.0
15,18,1,0,-331,0,-283,15.9522106302407,62.0,15.9522106302407,62.0,-0.760066463021407,172.0,4.71299657666413,3785.5,0,0,0,0,187.0,0.0,0.0,437.709258467403,5.3079024223322,15.0,0,0,0.15860787138669,15.0,-0.0858710498748529,125.0
16,18,1,0,-323,0,-292,-4.57716058409815,31.0,0.610900509468192,15.0,-4.57716058409815,31.0,-1.65586190724274,-633.0,0,0,0,0,187.0,0.0,0.0,436.195064069128,5.86635001512866,15.0,0,0,0.274767758090334,15.0,-0.134970642771552,93.0
17,18,1,292,0,0,-314,13.9089391420097,63.0,13.9089391420097,63.0,-1.15674611241396,125.0,3.85177798238485,2349.0,0,0,0,0,141.0,0.0,0.0,431.202934589454,6.9453784094173,16.0,0,0,0.315282194918694,16.0,-0.308119830831803,63.0
18,18,1,270,0,0,-307,-9.87186633126525,16.0,8.21595614636273,63.0,-9.87186633126525,16.0,0.935712910983,-980.0,0,0,0,0,141.0,0.0,0.0,411.349783520533,9.23592021523693,16.0,0,0,0.275551996035908,16.0,-0.303228014349129,31.0
19,18,1,296,0,0,-306,33.3774131264789,63.0,33.3774131264789,63.0,0.0,0.0,11.8763459711543,7357.0,0,0,0,0,188.0,0.0,0.0,434.619560636841,6.77611339922581,16.0,0,0,0.142881695956897,16.0,-0.113726209459334,47.0
20,18,1,0,-356,0,-327,6.20204332519297,15.0,6.20204332519297,15.0,-2.17630072651869,94.0,0.982269157847131,1176.0,0,0,0,0,187.0,0.0,31.0,483.904617598013,6.19727762812027,15.0,0,0,0.133010783931228,15.0,-0.25543486371753,78.0
21,18,1,303,0,0,-315,-9.77408044976418,16.0,0.679518233515916,94.0,-9.77408044976418,16.0,-2.0928932798272,-1744.5,0,0,0,0,204.0,0.0,0.0,438.338007955831,5.66392090340252,32.0,0,0,0.094119316173909,32.0,-0.125764699532434,63.0
22,18,1,325,0,0,-306,14.5456874054356,63.0,14.5456874054356,63.0,-2.18420533194202,141.0,3.18804370039664,2239.5,0,0,0,0,156.0,0.0,0.0,449.721304829992,6.20294788789975,31.0,0,0,0.0476967880849373,31.0,-0.222259493434663,78.0
23,18,1,347,0,0,-347,-48.0832611206852,156.0,0.0,0.0,-48.0832611206852,156.0,-23.483388364669,-11144.0,0,0,0,0,953.0,0.0,0.0,510.552824346527,4.77260702109212,47.0,0,0,0.0564476610100327,47.0,-0.114481488829951,94.0
24,18,0,0,-387,0,-341,3.40054054537681,78.0,3.40054054537681,78.0,-3.32299116007748,31.0,0.201628401778321,-432.0,0,0,0,0,218.0,0.0,0.0,516.746592744598,9.026436866228,31.0,0,0,0.206970648183121,31.0,-0.260556950273469,47.0
25,18,1,0,-358,0,-380,-77.0346693360471,78.0,0.0,0.0,-77.0346693360471,78.0,-40.3919489776563,-23291.0,2,0,0,0,1015.0,0.0,62.0,559.932458624485,5.92795285068969,62.0,0,0,0.0339172226854614,62.0,-0.31340107631929,78.0
26,18,1,0,-325,0,-310,-4.88713867480951,94.0,2.91669779681113,16.0,-4.88713867480951,94.0,-0.983365033276025,110.5,0,0,0,0,188.0,0.0,0.0,450.961225217647,8.44397899393408,16.0,0,0,0.279095086139012,16.0,-0.316449130563236,32.0
27,18,0,0,-296,0,-307,-21.2472944927537,140.0,0.0,0.0,-21.2472944927537,140.0,-9.7715752917621,-5884.5,1,1,0,0,281.0,0.0,0.0,432.449943260978,4.72252286624662,47.0,0,0,0.187398974264369,47.0,-0.170437162323413,62.0
28,18,0,0,-407,0,-384,-19.8944987211949,47.0,0.0412079854635891,141.0,-19.8944987211949,47.0,-7.87197937962124,-7308.5,1,1,0,0,187.0,0.0,0.0,563.131617589865,9.19347594764896,47.0,0,0,0.231375330532923,47.0,-0.294645788944459,62.0
29,18,1,0,-429,0,-368,-9.93255013837937,78.0,0.0,0.0,-9.93255013837937,78.0,-3.92065035743653,-2929.5,0,0,0,0,187.0,0.0,0.0,566.618624885829,9.3392838174146,0.0,0,0,0.181423585949639,46.0,-0.432044396224239,15.0
30,18,0,0,-311,0,-360,4.43526964938711,47.0,4.43526964938711,47.0,-0.653729317990265,141.0,0.82259187494162,731.5,0,0,0,0,156.0,0.0,0.0,476.330711934543,5.29318219767446,16.0,0,0,0.0537278271832753,16.0,-0.105572358282786,110.0
31,18,1,270,0,0,-272,-17.8172485021308,47.0,0.0,0.0,-17.8172485021308,47.0,-6.59419970407725,-4315.5,1,0,0,0,188.0,0.0,0.0,387.760256239635,5.80308377072053,47.0,0,0,0.147643747413877,16.0,-0.146115918863328,63.0
32,18,1,0,-308,0,-311,6.47926100210009,62.0,6.47926100210009,62.0,0.0,0.0,2.3062480499846,1744.0,0,0,0,0,187.0,0.0,0.0,438.142435522911,7.86705948877978,31.0,0,0,0.184469865692806,31.0,-0.176315560212632,47.0
33,18,1,280,0,0,-335,-11.6122942198852,828.0,8.45155141447269,62.0,-11.6122942198852,828.0,-1.67262335656796,637.0,0,0,0,0,906.0,0.0,0.0,441.87213543758,5.68076677140605,16.0,0,0,0.28041912174982,16.0,-0.224601352153015,62.0
34,18,1,0,-276,0,-306,-10.9055828029984,125.0,8.31386886583725,62.0,-10.9055828029984,125.0,-2.02386650149103,653.0,0,0,0,0,203.0,0.0,0.0,415.72937827634,6.86163473597947,62.0,0,0,0.138814939208918,62.0,-0.350326598038433,78.0
35,18,1,0,-334,0,-317,-16.0440079541551,110.0,2.14122791591729,16.0,-16.0440079541551,110.0,-7.88491978621319,-2400.5,0,0,0,0,266.0,0.0,0.0,465.82025851512,5.52216232964997,32.0,0,0,0.0242990643784191,32.0,-0.124720188145449,78.0
